nation_key,nation_name,region_name,region_group,is_priority_market
0,ALGERIA,AFRICA,EMEA,false
1,ARGENTINA,AMERICA,LATAM,false
2,BRAZIL,AMERICA,LATAM,true
3,CANADA,AMERICA,NA,true
4,EGYPT,MIDDLE EAST,EMEA,false
5,ETHIOPIA,AFRICA,EMEA,false
6,FRANCE,EUROPE,EMEA,true
7,GERMANY,EUROPE,EMEA,true
8,INDIA,ASIA,APAC,true
9,INDONESIA,ASIA,APAC,false
10,IRAN,MIDDLE EAST,EMEA,false
11,IRAQ,MIDDLE EAST,EMEA,false
12,JAPAN,ASIA,APAC,true
13,JORDAN,MIDDLE EAST,EMEA,false
14,KENYA,AFRICA,EMEA,false
15,MOROCCO,AFRICA,EMEA,false
16,MOZAMBIQUE,AFRICA,EMEA,false
17,PERU,AMERICA,LATAM,false
18,CHINA,ASIA,APAC,true
19,ROMANIA,EUROPE,EMEA,false
20,SAUDI ARABIA,MIDDLE EAST,EMEA,false
21,VIETNAM,ASIA,APAC,false
22,RUSSIA,EUROPE,EMEA,false
23,UNITED KINGDOM,EUROPE,EMEA,true
24,UNITED STATES,AMERICA,NA,true
